Date,Ozone,NO2,PM2.5,CO,season_spring,season_summer,season_fall,is_weekend,is_covid,traffic_daily_total,temperature_2m_max,wind_speed_10m_max_(km/h),precipitation_sum_(mm),relative_humidity_2m_max_(%),daylight_duration_(s),sunshine_duration_(s),rain_sum_(mm),snowfall_sum_(cm),wind_direction_10m_dominant_(°),et0_fao_evapotranspiration_(mm),shortwave_radiation_sum_(mj/m²),dew_point_2m_max,cloud_cover_max_(%),cloud_cover_mean_(%),pressure_msl_max_(hpa),surface_pressure_max_(hpa),vapour_pressure_deficit_max_(kpa),int_traffic_temp,int_traffic_wind,int_traffic_precip,int_traffic_humidity
2012-02-15,0.011,51.7,26.1,0.7,0,0,0,0,0,1.5730364656381486,-0.6375000000000001,-1.0454545454545456,0.391304347826087,0.4666666666666667,-0.5407089944542094,-1.2509793609114148,0.4736842105263158,0.0,0.55,-0.661596958174905,-0.7975609756097561,-0.5328947368421053,0.0,0.6470588235294118,0.4301075268817225,0.4021739130434738,-0.59,-1.00281074684432,-1.6445381231671556,0.6155360082931886,0.7340836839644693
2012-02-16,0.02,37.5,20.1,0.8,0,0,0,0,0,1.5869565217391304,-0.7312500000000001,-0.897727272727273,0.9130434782608696,0.2,-0.5284681257473982,-1.6423017205041246,1.105263157894737,0.0,0.43125,-0.6577946768060837,-0.773170731707317,-0.5131578947368421,0.0,0.0784313725490196,0.6989247311827991,0.6630434782608646,-0.6,-1.1604619565217391,-1.4246541501976289,1.4489603024574669,0.3173913043478261
2012-02-17,0.031,37.3,13.2,0.5,0,0,0,1,0,1.7683730715287518,-0.4750000000000001,-0.2954545454545456,0.4782608695652174,0.5333333333333333,-0.5161646562171449,-0.2485759144891275,0.5789473684210527,0.0,0.275,-0.3346007604562738,-0.2552845528455285,-0.4605263157894737,0.0,0.2156862745098039,0.0107526881720455,-0.0217391304347877,-0.13,-0.8399772089761572,-0.522473862042586,0.8457436429050552,0.9431323048153343
2012-02-18,0.033,31.2,11.2,0.5,0,0,0,1,0,1.487552594670407,-0.55625,-0.022727272727273,0.1304347826086956,-0.6,-0.5038114270580025,0.0563011674987527,0.1578947368421052,0.0,0.2125,-0.1901140684410647,-0.0284552845528455,-0.8486842105263158,0.0,-0.9019607843137256,-0.0752688172042941,-0.1195652173913077,-0.1999999999999999,-0.8274511307854139,-0.03380801351523693,0.1940285993048356,-0.8925315568022442
2012-02-19,0.036,40.5,8.9,0.5,0,0,0,1,0,1.2475455820476855,-0.70625,-0.4090909090909093,0.4782608695652174,-0.2,-0.4914188717405444,0.0668822291917225,0.5789473684210527,0.0,0.7,-0.3688212927756655,-0.1235772357723576,-0.6052631578947368,0.0,-0.3333333333333333,-0.0322580645161243,-0.0652173913043507,-0.35,-0.8810790673211779,-0.5103595562922352,0.5966522348923714,-0.2495091164095371
2012-02-20,0.032,38.8,8.8,0.6,0,0,0,0,0,1.3917952314165498,-0.65625,0.0909090909090905,0.0,-0.4666666666666667,-0.478998226310003,-0.1354350760092348,0.0,0.0,0.8,-0.1406844106463878,-0.0130081300813008,-0.9013157894736842,0.0,0.1568627450980392,0.5053763440860288,0.4782608695652184,-0.2099999999999999,-0.9133656206171108,0.12652683921968577,0.0,-0.6495044413277232
2012-02-21,0.04,44.4,10.8,0.7,0,0,0,0,0,1.5957924263674614,-0.625,0.4318181818181815,0.0,-0.6666666666666666,-0.4665591216622933,-0.0811192171300183,0.0,0.0,-0.4375,-0.2965779467680609,-0.1284552845528455,-0.6578947368421053,0.0,-0.2549019607843137,0.9354838709677514,0.8913043478260861,-0.36,-0.9973702664796634,0.6890921841132215,0.0,-1.0638616175783076
2012-02-22,0.031,42.4,12.4,0.6,0,0,0,0,0,1.626086956521739,-0.29375,0.0340909090909087,0.0,0.1333333333333333,-0.4541135964173074,0.0779568385108297,0.0,0.0,0.025,-0.1863117870722434,-0.0609756097560975,-0.5263157894736842,-2.0,0.0588235294117647,-0.5053763440860166,-0.5326086956521877,0.01,-0.4776630434782609,0.05543478260869501,0.0,0.2168115942028985
2012-02-23,0.035,43.6,11.7,0.6,0,0,0,0,0,1.6861851332398317,-0.28125,0.8068181818181817,0.3478260869565218,0.2,-0.4416720840456187,0.0774526561660096,0.4210526315789474,0.0,0.14375,-0.1178707224334601,0.0317073170731707,-0.3947368421052631,0.0,-0.0588235294117647,-1.5591397849462445,-1.5869565217391446,0.01,-0.47423956872370265,1.3604448234094093,0.5864991767790719,0.33723702664796634
2012-02-24,0.031,37.8,9.4,0.4,0,0,0,1,0,1.73288920056101,-0.6062500000000001,0.2045454545454542,3.6086956521739135,0.3333333333333333,-0.4292450180178018,-1.6425434186560035,3.7894736842105265,0.77,-0.975,-0.6692015209125477,-0.9170731707317074,-0.4013157894736842,0.0,0.6666666666666666,-1.2258064516129068,-1.2608695652174031,-0.38,-1.0505640778401124,0.3544546092056605,6.253469723763645,0.5776297335203366
2012-02-25,0.039,15.3,8.3,0.4,0,0,0,1,0,-0.3361851332398317,-0.675,2.2159090909090913,1.0869565217391306,0.5333333333333333,-0.4168227674379416,0.0744884700313625,1.3157894736842106,0.0,0.26875,-0.0418250950570343,-0.1073170731707317,-0.3881578947368421,0.0,-0.4509803921568627,-1.2580645161290311,-1.2934782608695847,-0.25,0.2269249649368864,-0.7449556929746272,-0.36541862308677364,-0.17929873772791022
2012-03-23,0.041,48.6,12.8,0.6,1,0,0,1,0,-0.0133590462833099,0.2375,-0.4431818181818184,0.0,0.3333333333333333,-0.0658416199166931,0.3117007042117353,0.0,0.0,-1.1125,0.1749049429657794,0.2341463414634146,0.2368421052631578,0.0,-0.2745098039215686,-0.0322580645161243,-0.0217391304347877,0.05,-0.003172773492286101,0.005920486421012345,-0.0,-0.004453015427769966
2012-03-24,0.041,47.4,6.5,0.5,1,0,0,1,0,-0.0062412342215988,-0.175,0.0681818181818179,0.0,0.4,-0.0526577259849598,-0.4987257673432927,0.0,0.0,-0.85,0.0570342205323193,-0.0593495934959349,-0.0460526315789473,0.0,0.6862745098039216,-0.0430107526881698,-0.0543478260869569,0.0999999999999999,0.00109221598877979,-0.0004255386969271891,-0.0,-0.00249649368863952
2012-03-25,0.039,43.5,10.6,0.4,1,0,0,1,0,-0.3051893408134642,-0.45,-0.1250000000000001,0.3043478260869565,-0.3333333333333333,-0.0394730294785674,-1.5780588351309233,0.3684210526315789,0.0,-1.125,-0.4866920152091255,-0.8195121951219512,-0.3223684210526316,0.0,0.7254901960784313,-0.3655913978494617,-0.3804347826086984,-0.4,0.1373352033660589,0.03814866760168306,-0.0928837124214891,0.10172978027115473
